spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,snapshot_date,popularity,is_explicit,album_release_date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Jin,1,0,0,2025-06-11,93,FALSE,2025-05-16,0.729,0.562,8,1,0.0304,0.484,0.0,0.105,0.757,111.976,4
4e6TmHCC4PRUj75knNplNP,Mangu,"Fourtwnty, Charita Utami",2,0,0,2025-06-11,87,FALSE,2023-04-18,0.534,0.295,7,1,0.0238,0.647,2.96E-06,0.0794,0.197,94.048,4
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,3,1,1,2025-06-11,98,FALSE,2024-12-27,0.436,0.723,1,1,0.0301,9.37E-05,8.82E-05,0.0929,0.235,92.855,4
1RaJdXCj61oSRUUciGKoWe,bergema sampai selamanya,Nadhif Basalamah,4,-1,-1,2025-06-11,85,FALSE,2025-01-31,0.263,0.506,8,1,0.0341,0.761,0.0274,0.0626,0.209,159.852,4
1UPB5rYJ0bzn6mNSoAHrZC,You'll Be in My Heart,NIKI,5,0,1,2025-06-11,93,FALSE,2022-09-14,0.486,0.613,9,1,0.0394,0.0569,0.00139,0.126,0.633,187.531,4
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,6,0,1,2025-06-11,92,FALSE,2024-08-02,0.746,0.317,4,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,7,1,1,2025-06-11,100,FALSE,2024-05-17,0.747,0.507,2,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
3v0kDUI2OMYefvcgJYssUv,Bukan Lagi Kita,Nadeera,8,-1,4,2025-06-11,69,FALSE,2024-08-15,0.43,0.735,6,0,0.0444,0.2,0.0,0.0582,0.182,144.189,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,9,1,2,2025-06-11,96,FALSE,2024-05-17,0.467,0.247,6,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,JENNIE,10,1,-1,2025-06-11,95,TRUE,2025-03-07,0.811,0.743,10,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4
1hlHeIZ36Idpr57xPI8OCD,Garam & Madu (Sakit Dadaku),"Tenxi, Jemsii, Naykilla",11,-2,-6,2025-06-11,84,FALSE,2025-01-03,0.915,0.776,3,0,0.05,0.354,0.000597,0.206,0.46,124.969,4
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",12,2,1,2025-06-11,91,FALSE,2025-03-07,0.519,0.601,6,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
0b7PI4ikygOrxYu8TSQI92,Aku Dah Lupa,"MikkyZia, F4dli",13,0,-3,2025-06-11,82,FALSE,2025-03-27,0.724,0.555,1,0,0.0832,0.374,0.000536,0.0604,0.621,205.996,4
2CneKWpjKErzqZhHID0avV,Menjaga Jodoh Orang Lain,Ara Johari,14,-2,1,2025-06-11,68,FALSE,2024-07-31,0.364,0.418,3,1,0.0291,0.76,0.0,0.179,0.179,138.917,4
5rhwXZP0luMucnEPnYJpbI,Kasih Aba Aba,"Naykilla, Tenxi, Jemsii",15,0,1,2025-06-11,80,FALSE,2025-04-28,0.964,0.539,1,0,0.0557,0.299,0.0,0.102,0.692,115.019,4
6EIMUjQ7Q8Zr2VtIUik4He,drunk text,Henry Moodie,16,1,1,2025-06-11,83,FALSE,2024-01-26,0.614,0.493,0,1,0.0314,0.0676,0.0,0.113,0.176,94.784,3
42UBPzRMh5yyz0EDPr6fr1,Manchild,Sabrina Carpenter,17,2,33,2025-06-11,89,TRUE,2025-06-05,0.731,0.685,7,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
2ECbN3xQ7M6B7AI9BhhCy7,Stecu Stecu,Faris Adam,18,-2,-4,2025-06-11,84,FALSE,2025-03-05,0.832,0.825,8,1,0.0601,0.119,0.0,0.133,0.915,103.011,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",19,3,-1,2025-06-11,92,FALSE,2024-11-21,0.707,0.575,2,1,0.125,0.251,0.0,0.248,0.576,138.008,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",20,3,2,2025-06-11,94,FALSE,2023-06-23,0.264,0.64,8,1,0.0442,0.0393,2.31E-06,0.151,0.19,84.828,4
0TRKtVvsVmOkXCvnq5AgNE,Reminisensi,Insomniacks,21,-3,-2,2025-06-11,67,FALSE,2020-07-24,0.464,0.601,10,1,0.0256,0.0815,0.0,0.105,0.267,77.986,4
0dS2u2UFd88TIzDDaZDLvS,Here With Me,d4vd,22,10,4,2025-06-11,57,FALSE,2022-09-22,0.574,0.469,4,1,0.0254,0.534,9.21E-05,0.128,0.288,132.023,4
26KhLgFuPymkm1uiZkc6Rv,Bunga Maaf,The Lantis,23,1,-3,2025-06-11,84,FALSE,2024-11-15,0.468,0.525,9,1,0.0283,0.789,0.0244,0.0861,0.296,158.15,4
79HHRLEs61LSjrrKjlCUSt,Seni Berdamai Dengan Takdir,"Naim Daniel, Adnin Roslan",24,21,26,2025-06-11,55,FALSE,2025-05-23,0.448,0.386,10,1,0.0272,0.819,0.0,0.103,0.221,145.553,4
67C6LHREqmytK923Ak6R0I,Sempurna,Insomniacks,25,-4,0,2025-06-11,65,FALSE,2022-02-14,0.317,0.38,9,1,0.0319,0.467,2.7E-05,0.091,0.191,135.563,3
2OxvanM5m1Na9OVlXyXmUp,Lesung Pipi,Raim Laode,26,3,11,2025-06-11,88,FALSE,2023-08-31,0.6,0.375,0,1,0.0316,0.465,0.0,0.542,0.401,135.816,4
0hlZ8daapg8QHpHsDyaqbg,Hanya Aku,Hyper Act,27,-7,0,2025-06-11,64,FALSE,2014-06-15,0.451,0.509,0,1,0.0292,0.745,0.0,0.131,0.171,157.978,4
3CSFXGhoR8C9kBF90xhIXG,Tanpa Cinta,"Yovie Widianto, Tiara Andini",28,-3,-7,2025-06-11,82,FALSE,2025-04-24,0.515,0.438,3,1,0.0315,0.861,7.08E-06,0.132,0.226,135.812,4
1XZE0InCx3SdCnLpVsPpZl,Jumping Machine (跳楼机),LBI利比,29,4,6,2025-06-11,82,FALSE,2025-01-23,0.605,0.53,6,1,0.029,0.659,0.0,0.172,0.351,127.939,4
