feature_x,feature_y,correlation
Danceability,Danceability,1.0
Danceability,Energy,0.2
Danceability,Valence,0.41
Danceability,Acousticness,-0.24
Danceability,Speechiness,0.18
Danceability,Tempo,-0.15
Energy,Danceability,0.2
Energy,Energy,1.0
Energy,Valence,0.36
Energy,Acousticness,-0.58
Energy,Speechiness,-0.0
Energy,Tempo,0.03
Valence,Danceability,0.41
Valence,Energy,0.36
Valence,Valence,1.0
Valence,Acousticness,-0.08
Valence,Speechiness,0.04
Valence,Tempo,0.04
Acousticness,Danceability,-0.24
Acousticness,Energy,-0.58
Acousticness,Valence,-0.08
Acousticness,Acousticness,1.0
Acousticness,Speechiness,-0.02
Acousticness,Tempo,-0.02
Speechiness,Danceability,0.18
Speechiness,Energy,-0.0
Speechiness,Valence,0.04
Speechiness,Acousticness,-0.02
Speechiness,Speechiness,1.0
Speechiness,Tempo,0.04
Tempo,Danceability,-0.15
Tempo,Energy,0.03
Tempo,Valence,0.04
Tempo,Acousticness,-0.02
Tempo,Speechiness,0.04
Tempo,Tempo,1.0
