week_date,explicit_count,clean_count,explicit_pct,clean_pct
2024-08-21,8,42,16,84
2024-08-22,8,42,16,84
2024-08-23,8,42,16,84
2024-08-24,8,42,16,84
2024-08-25,8,42,16,84
2024-08-26,8,42,16,84
2024-08-27,8,42,16,84
2024-08-28,8,42,16,84
2024-08-29,7,43,14,86
2024-08-30,8,42,16,84
2024-08-31,8,42,16,84
2024-09-01,8,42,16,84
2024-09-02,8,42,16,84
2024-09-03,8,42,16,84
2024-09-04,7,43,14,86
2024-09-05,6,44,12,88
2024-09-06,6,44,12,88
2024-09-07,7,43,14,86
2024-09-08,6,44,12,88
2024-09-09,6,44,12,88
2024-09-10,7,43,14,86
2024-09-11,6,44,12,88
2024-09-12,7,43,14,86
2024-09-13,8,42,16,84
2024-09-14,7,43,14,86
2024-09-15,6,44,12,88
2024-09-16,6,44,12,88
2024-09-17,5,45,10,90
2024-09-18,5,45,10,90
2024-09-19,4,46,8,92
2024-09-20,4,46,8,92
2024-09-21,4,46,8,92
2024-09-22,4,46,8,92
2024-09-23,4,46,8,92
2024-09-24,4,46,8,92
2024-09-25,6,44,12,88
2024-09-26,4,46,8,92
2024-09-27,6,44,12,88
2024-09-28,5,45,10,90
2024-09-29,6,44,12,88
2024-09-30,6,44,12,88
2024-10-01,5,45,10,90
2024-10-02,6,44,12,88
2024-10-03,6,44,12,88
2024-10-04,6,44,12,88
2024-10-05,5,45,10,90
2024-10-06,5,45,10,90
2024-10-07,5,45,10,90
2024-10-08,5,45,10,90
2024-10-09,6,44,12,88
2024-10-10,5,45,10,90
2024-10-11,6,44,12,88
2024-10-12,5,45,10,90
2024-10-13,7,43,14,86
2024-10-14,6,44,12,88
2024-10-15,7,43,14,86
2024-10-16,6,44,12,88
2024-10-17,7,43,14,86
2024-10-18,7,43,14,86
2024-10-19,7,43,14,86
2024-10-20,5,45,10,90
2024-10-21,5,45,10,90
2024-10-22,6,44,12,88
2024-10-23,5,45,10,90
2024-10-24,6,44,12,88
2024-10-25,7,43,14,86
2024-10-26,6,44,12,88
2024-10-27,6,44,12,88
2024-10-28,5,45,10,90
2024-10-29,5,45,10,90
2024-10-30,5,45,10,90
2024-10-31,5,45,10,90
2024-11-01,6,44,12,88
2024-11-02,6,44,12,88
2024-11-03,5,45,10,90
2024-11-04,5,45,10,90
2024-11-05,6,44,12,88
2024-11-06,6,44,12,88
2024-11-07,6,44,12,88
2024-11-08,6,44,12,88
2024-11-09,7,43,14,86
2024-11-10,7,43,14,86
2024-11-11,7,43,14,86
2024-11-12,7,43,14,86
2024-11-13,8,42,16,84
2024-11-14,7,43,14,86
2024-11-15,7,43,14,86
2024-11-16,7,43,14,86
2024-11-17,6,44,12,88
2024-11-18,6,44,12,88
2024-11-19,6,44,12,88
2024-11-20,6,44,12,88
2024-11-21,7,43,14,86
2024-11-22,7,43,14,86
2024-11-23,7,43,14,86
2024-11-24,8,42,16,84
2024-11-25,7,43,14,86
2024-11-26,7,43,14,86
2024-11-27,7,43,14,86
2024-12-06,6,44,12,88
2024-12-09,6,44,12,88
2024-12-10,6,44,12,88
2024-12-11,6,44,12,88
2024-12-12,6,44,12,88
2024-12-13,7,43,14,86
2024-12-14,8,42,16,84
2024-12-15,8,42,16,84
2024-12-16,8,42,16,84
2024-12-17,8,42,16,84
2024-12-18,8,42,16,84
2024-12-19,7,43,14,86
2024-12-20,8,42,16,84
2024-12-21,8,42,16,84
2024-12-22,8,42,16,84
2024-12-23,8,42,16,84
2024-12-24,8,42,16,84
2024-12-25,7,43,14,86
2024-12-26,7,43,14,86
2024-12-27,9,41,18,82
2024-12-28,9,41,18,82
2024-12-29,9,41,18,82
2024-12-30,9,41,18,82
2024-12-31,10,40,20,80
2025-01-01,10,40,20,80
2025-01-02,9,41,18,82
2025-01-03,9,41,18,82
2025-01-04,9,41,18,82
2025-01-05,9,41,18,82
2025-01-06,9,41,18,82
2025-01-07,9,41,18,82
2025-01-08,9,41,18,82
2025-01-09,9,41,18,82
2025-01-10,9,41,18,82
2025-01-11,9,41,18,82
2025-01-12,8,42,16,84
2025-01-13,8,42,16,84
2025-01-14,8,42,16,84
2025-01-15,8,42,16,84
2025-01-16,8,42,16,84
2025-01-17,8,42,16,84
2025-01-18,8,42,16,84
2025-01-19,8,42,16,84
2025-01-20,8,42,16,84
2025-01-21,8,42,16,84
2025-01-22,8,42,16,84
2025-01-23,8,42,16,84
2025-01-24,8,42,16,84
2025-01-25,8,42,16,84
2025-01-26,8,42,16,84
2025-01-27,8,42,16,84
2025-01-28,8,42,16,84
2025-01-29,7,43,14,86
2025-01-30,7,43,14,86
2025-01-31,7,43,14,86
2025-02-01,9,41,18,82
2025-02-02,10,40,20,80
2025-02-03,10,40,20,80
2025-02-04,10,40,20,80
2025-02-05,9,41,18,82
2025-02-06,9,41,18,82
2025-02-07,9,41,18,82
2025-02-08,9,41,18,82
2025-02-09,9,41,18,82
2025-02-10,9,41,18,82
2025-02-11,11,39,22,78
2025-02-12,11,39,22,78
2025-02-13,11,39,22,78
2025-02-14,11,39,22,78
2025-02-15,11,39,22,78
2025-02-16,11,39,22,78
2025-02-17,11,39,22,78
2025-02-18,12,38,24,76
2025-02-19,11,39,22,78
2025-02-20,12,38,24,76
2025-02-21,11,39,22,78
2025-02-22,12,38,24,76
2025-02-23,12,38,24,76
2025-02-24,12,38,24,76
