genre,feature,avg_value
Acoustic/Folk,Danceability,0.37
Acoustic/Folk,Energy,0.56
Acoustic/Folk,Valence,0.34
Acoustic/Folk,Acousticness,0.36
Acoustic/Folk,Speechiness,0.04
Electronic,Danceability,0.74
Electronic,Energy,0.68
Electronic,Valence,0.61
Electronic,Acousticness,0.16
Electronic,Speechiness,0.06
Hip-Hop,Danceability,0.69
Hip-Hop,Energy,0.6
Hip-Hop,Valence,0.45
Hip-Hop,Acousticness,0.29
Hip-Hop,Speechiness,0.21
Indie/Alt,Danceability,0.54
Indie/Alt,Energy,0.54
Indie/Alt,Valence,0.33
Indie/Alt,Acousticness,0.29
Indie/Alt,Speechiness,0.03
K-Pop,Danceability,0.67
K-Pop,Energy,0.72
K-Pop,Valence,0.44
K-Pop,Acousticness,0.17
K-Pop,Speechiness,0.09
Pop,Danceability,0.63
Pop,Energy,0.61
Pop,Valence,0.43
Pop,Acousticness,0.25
Pop,Speechiness,0.07
R&B,Danceability,0.63
R&B,Energy,0.6
R&B,Valence,0.46
R&B,Acousticness,0.31
R&B,Speechiness,0.09
Rock,Danceability,0.57
Rock,Energy,0.6
Rock,Valence,0.37
Rock,Acousticness,0.31
Rock,Speechiness,0.04
