rank,artist_names,track_name,streams,week_date,artist_type
1,Bruno Mars,Risk It All,899686,2026-04-30,International
2,"Justin Bieber, Nicki Minaj",Beauty And A Beat,862609,2026-04-30,International
3,Piche Kota,Bahagia Lagi,621306,2026-04-30,International
4,Nadhif Basalamah,kota ini tak sama tanpamu,525236,2026-04-30,International
5,Sal Priadi,Ada titik-titik di ujung doa,484944,2026-04-30,International
6,Adira Suhaimi,Sayang Orang Sama,479323,2026-04-30,Local
7,Ifan Seventeen,Jangan Paksa Rindu - Beda,465520,2026-04-30,International
8,Nadhif Basalamah,bergema sampai selamanya,453177,2026-04-30,International
9,Justin Bieber,That Should Be Me,443421,2026-04-30,International
10,Katy Perry,The One That Got Away,419291,2026-04-30,International
11,Nuca,"Masa ini, Nanti, dan Masa Indah Lainnya",418722,2026-04-30,International
12,Mojo,Romancinta,417706,2026-04-30,International
13,BTS,SWIM,397593,2026-04-30,International
14,Olivia Rodrigo,drop dead,393871,2026-04-30,International
15,"Sean Kingston, Justin Bieber",Eenie Meenie,388782,2026-04-30,International
16,"Justin Bieber, Ludacris",Baby,377155,2026-04-30,International
17,Justin Bieber,DAISIES,352858,2026-04-30,International
18,Idgitaf,Sedia Aku Sebelum Hujan,335512,2026-04-30,International
19,CORTIS,REDRED,332687,2026-04-30,International
20,sombr,back to friends,331035,2026-04-30,International
21,Justin Bieber,Favorite Girl,328444,2026-04-30,International
22,"Justin Bieber, Chance the Rapper",Confident,327906,2026-04-30,International
23,Justin Bieber,Love Yourself,327164,2026-04-30,International
24,Billie Eilish,WILDFLOWER,312988,2026-04-30,International
25,SIENNA SPIRO,Die On This Hill,311657,2026-04-30,International
26,"dia, INDAHKUS",MALU MALU,307188,2026-04-30,International
27,Justin Bieber,Ghost,299603,2026-04-30,International
28,Ravyn Lenae,Love Me Not,298661,2026-04-30,International
29,"Lady Gaga, Bruno Mars",Die With A Smile,296379,2026-04-30,International
30,Nadhif Basalamah,penjaga hati,295517,2026-04-30,International
31,Taylor Swift,The Fate of Ophelia,294180,2026-04-30,International
32,Justin Bieber,Sorry,289211,2026-04-30,International
33,"Tame Impala, JENNIE",Dracula - JENNIE Remix,288703,2026-04-30,International
34,Raim Laode,Iqro',288476,2026-04-30,International
35,Justin Bieber,One Less Lonely Girl,287483,2026-04-30,International
36,"Fourtwnty, Charita Utami",Mangu,287352,2026-04-30,International
37,Dominic Fike,Babydoll,284340,2026-04-30,International
38,"Dave, Tems",Raindance (feat. Tems),281905,2026-04-30,International
39,Billie Eilish,BIRDS OF A FEATHER,275877,2026-04-30,International
40,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),272304,2026-04-30,International
41,Alpha,P Ramlee Saloma,260175,2026-04-30,International
42,Djo,End of Beginning,259495,2026-04-30,International
43,Daniel Caesar,Who Knows,256996,2026-04-30,International
44,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,256676,2026-04-30,International
45,Hyper Act,Hanya Aku,253471,2026-04-30,Local
46,Hafiz Suip,Bahagiamu Deritaku,251229,2026-04-30,Local
47,The Script,The Man Who Can't Be Moved,246311,2026-04-30,International
48,Naykilla,SO ASU,244446,2026-04-30,International
49,Bruno Mars,Locked out of Heaven,241793,2026-04-30,International
50,Olivia Dean,So Easy (To Fall In Love),240852,2026-04-30,International
51,"Justin Bieber, Jaden",Never Say Never,238083,2026-04-30,International
52,Alyah,Sesal Separuh Nyawa,236352,2026-04-30,Local
53,"Nadhif Basalamah, Aziz Harun, Aisha Retno",kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno),232708,2026-04-30,Local
54,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),224072,2026-04-30,International
55,Bruno Mars,It Will Rain,223061,2026-04-30,International
56,"DJ Snake, Justin Bieber",Let Me Love You,221948,2026-04-30,International
