track_name,artist,popularity,my_rank
Don’t Say You Love Me,Jin,93,1
Mangu,"Fourtwnty, Charita Utami",87,2
back to friends,sombr,98,3
bergema sampai selamanya,Nadhif Basalamah,85,4
You'll Be in My Heart,NIKI,93,5
blue,yung kai,92,6
BIRDS OF A FEATHER,Billie Eilish,100,7
Bukan Lagi Kita,Nadeera,69,8
WILDFLOWER,Billie Eilish,96,9
like JENNIE,JENNIE,95,10
Garam & Madu (Sakit Dadaku),"Tenxi, Jemsii, Naykilla",84,11
Die With A Smile,"Lady Gaga, Bruno Mars",91,12
Aku Dah Lupa,"MikkyZia, F4dli",82,13
Menjaga Jodoh Orang Lain,Ara Johari,68,14
Kasih Aba Aba,"Naykilla, Tenxi, Jemsii",80,15
