week_date,unit,row,col,artist_type,local_pct
2026-02-19,1,1,1,Local,36
2026-02-19,2,1,2,Local,36
2026-02-19,3,1,3,Local,36
2026-02-19,4,1,4,Local,36
2026-02-19,5,1,5,Local,36
2026-02-19,6,1,6,Local,36
2026-02-19,7,1,7,Local,36
2026-02-19,8,1,8,Local,36
2026-02-19,9,1,9,Local,36
2026-02-19,10,1,10,Local,36
2026-02-19,11,2,1,Local,36
2026-02-19,12,2,2,Local,36
2026-02-19,13,2,3,Local,36
2026-02-19,14,2,4,Local,36
2026-02-19,15,2,5,Local,36
2026-02-19,16,2,6,Local,36
2026-02-19,17,2,7,Local,36
2026-02-19,18,2,8,Local,36
2026-02-19,19,2,9,Local,36
2026-02-19,20,2,10,Local,36
2026-02-19,21,3,1,Local,36
2026-02-19,22,3,2,Local,36
2026-02-19,23,3,3,Local,36
2026-02-19,24,3,4,Local,36
2026-02-19,25,3,5,Local,36
2026-02-19,26,3,6,Local,36
2026-02-19,27,3,7,Local,36
2026-02-19,28,3,8,Local,36
2026-02-19,29,3,9,Local,36
2026-02-19,30,3,10,Local,36
2026-02-19,31,4,1,Local,36
2026-02-19,32,4,2,Local,36
2026-02-19,33,4,3,Local,36
2026-02-19,34,4,4,Local,36
2026-02-19,35,4,5,Local,36
2026-02-19,36,4,6,Local,36
2026-02-19,37,4,7,International,36
2026-02-19,38,4,8,International,36
2026-02-19,39,4,9,International,36
2026-02-19,40,4,10,International,36
2026-02-19,41,5,1,International,36
2026-02-19,42,5,2,International,36
2026-02-19,43,5,3,International,36
2026-02-19,44,5,4,International,36
2026-02-19,45,5,5,International,36
2026-02-19,46,5,6,International,36
2026-02-19,47,5,7,International,36
2026-02-19,48,5,8,International,36
2026-02-19,49,5,9,International,36
2026-02-19,50,5,10,International,36
2026-02-19,51,6,1,International,36
2026-02-19,52,6,2,International,36
2026-02-19,53,6,3,International,36
2026-02-19,54,6,4,International,36
2026-02-19,55,6,5,International,36
2026-02-19,56,6,6,International,36
2026-02-19,57,6,7,International,36
2026-02-19,58,6,8,International,36
2026-02-19,59,6,9,International,36
2026-02-19,60,6,10,International,36
2026-02-19,61,7,1,International,36
2026-02-19,62,7,2,International,36
2026-02-19,63,7,3,International,36
2026-02-19,64,7,4,International,36
2026-02-19,65,7,5,International,36
2026-02-19,66,7,6,International,36
2026-02-19,67,7,7,International,36
2026-02-19,68,7,8,International,36
2026-02-19,69,7,9,International,36
2026-02-19,70,7,10,International,36
2026-02-19,71,8,1,International,36
2026-02-19,72,8,2,International,36
2026-02-19,73,8,3,International,36
2026-02-19,74,8,4,International,36
2026-02-19,75,8,5,International,36
2026-02-19,76,8,6,International,36
2026-02-19,77,8,7,International,36
2026-02-19,78,8,8,International,36
2026-02-19,79,8,9,International,36
2026-02-19,80,8,10,International,36
2026-02-19,81,9,1,International,36
2026-02-19,82,9,2,International,36
2026-02-19,83,9,3,International,36
2026-02-19,84,9,4,International,36
2026-02-19,85,9,5,International,36
2026-02-19,86,9,6,International,36
2026-02-19,87,9,7,International,36
2026-02-19,88,9,8,International,36
2026-02-19,89,9,9,International,36
2026-02-19,90,9,10,International,36
2026-02-19,91,10,1,International,36
2026-02-19,92,10,2,International,36
2026-02-19,93,10,3,International,36
2026-02-19,94,10,4,International,36
2026-02-19,95,10,5,International,36
2026-02-19,96,10,6,International,36
2026-02-19,97,10,7,International,36
2026-02-19,98,10,8,International,36
2026-02-19,99,10,9,International,36
2026-02-19,100,10,10,International,36
2026-02-26,1,1,1,Local,32
2026-02-26,2,1,2,Local,32
2026-02-26,3,1,3,Local,32
2026-02-26,4,1,4,Local,32
2026-02-26,5,1,5,Local,32
2026-02-26,6,1,6,Local,32
2026-02-26,7,1,7,Local,32
2026-02-26,8,1,8,Local,32
2026-02-26,9,1,9,Local,32
2026-02-26,10,1,10,Local,32
2026-02-26,11,2,1,Local,32
2026-02-26,12,2,2,Local,32
2026-02-26,13,2,3,Local,32
2026-02-26,14,2,4,Local,32
2026-02-26,15,2,5,Local,32
2026-02-26,16,2,6,Local,32
2026-02-26,17,2,7,Local,32
2026-02-26,18,2,8,Local,32
2026-02-26,19,2,9,Local,32
2026-02-26,20,2,10,Local,32
2026-02-26,21,3,1,Local,32
2026-02-26,22,3,2,Local,32
2026-02-26,23,3,3,Local,32
2026-02-26,24,3,4,Local,32
2026-02-26,25,3,5,Local,32
2026-02-26,26,3,6,Local,32
2026-02-26,27,3,7,Local,32
2026-02-26,28,3,8,Local,32
2026-02-26,29,3,9,Local,32
2026-02-26,30,3,10,Local,32
2026-02-26,31,4,1,Local,32
2026-02-26,32,4,2,Local,32
2026-02-26,33,4,3,International,32
2026-02-26,34,4,4,International,32
2026-02-26,35,4,5,International,32
2026-02-26,36,4,6,International,32
2026-02-26,37,4,7,International,32
2026-02-26,38,4,8,International,32
2026-02-26,39,4,9,International,32
2026-02-26,40,4,10,International,32
2026-02-26,41,5,1,International,32
2026-02-26,42,5,2,International,32
2026-02-26,43,5,3,International,32
2026-02-26,44,5,4,International,32
2026-02-26,45,5,5,International,32
2026-02-26,46,5,6,International,32
2026-02-26,47,5,7,International,32
2026-02-26,48,5,8,International,32
2026-02-26,49,5,9,International,32
2026-02-26,50,5,10,International,32
2026-02-26,51,6,1,International,32
2026-02-26,52,6,2,International,32
2026-02-26,53,6,3,International,32
2026-02-26,54,6,4,International,32
2026-02-26,55,6,5,International,32
2026-02-26,56,6,6,International,32
2026-02-26,57,6,7,International,32
2026-02-26,58,6,8,International,32
2026-02-26,59,6,9,International,32
2026-02-26,60,6,10,International,32
2026-02-26,61,7,1,International,32
2026-02-26,62,7,2,International,32
2026-02-26,63,7,3,International,32
2026-02-26,64,7,4,International,32
2026-02-26,65,7,5,International,32
2026-02-26,66,7,6,International,32
2026-02-26,67,7,7,International,32
2026-02-26,68,7,8,International,32
2026-02-26,69,7,9,International,32
2026-02-26,70,7,10,International,32
2026-02-26,71,8,1,International,32
2026-02-26,72,8,2,International,32
2026-02-26,73,8,3,International,32
2026-02-26,74,8,4,International,32
2026-02-26,75,8,5,International,32
2026-02-26,76,8,6,International,32
2026-02-26,77,8,7,International,32
2026-02-26,78,8,8,International,32
2026-02-26,79,8,9,International,32
2026-02-26,80,8,10,International,32
2026-02-26,81,9,1,International,32
2026-02-26,82,9,2,International,32
2026-02-26,83,9,3,International,32
2026-02-26,84,9,4,International,32
2026-02-26,85,9,5,International,32
2026-02-26,86,9,6,International,32
2026-02-26,87,9,7,International,32
2026-02-26,88,9,8,International,32
2026-02-26,89,9,9,International,32
2026-02-26,90,9,10,International,32
2026-02-26,91,10,1,International,32
2026-02-26,92,10,2,International,32
2026-02-26,93,10,3,International,32
2026-02-26,94,10,4,International,32
2026-02-26,95,10,5,International,32
2026-02-26,96,10,6,International,32
2026-02-26,97,10,7,International,32
2026-02-26,98,10,8,International,32
2026-02-26,99,10,9,International,32
2026-02-26,100,10,10,International,32
2026-03-05,1,1,1,Local,30
2026-03-05,2,1,2,Local,30
2026-03-05,3,1,3,Local,30
2026-03-05,4,1,4,Local,30
2026-03-05,5,1,5,Local,30
2026-03-05,6,1,6,Local,30
2026-03-05,7,1,7,Local,30
2026-03-05,8,1,8,Local,30
2026-03-05,9,1,9,Local,30
2026-03-05,10,1,10,Local,30
2026-03-05,11,2,1,Local,30
2026-03-05,12,2,2,Local,30
2026-03-05,13,2,3,Local,30
2026-03-05,14,2,4,Local,30
2026-03-05,15,2,5,Local,30
2026-03-05,16,2,6,Local,30
2026-03-05,17,2,7,Local,30
2026-03-05,18,2,8,Local,30
2026-03-05,19,2,9,Local,30
2026-03-05,20,2,10,Local,30
2026-03-05,21,3,1,Local,30
2026-03-05,22,3,2,Local,30
2026-03-05,23,3,3,Local,30
2026-03-05,24,3,4,Local,30
2026-03-05,25,3,5,Local,30
2026-03-05,26,3,6,Local,30
2026-03-05,27,3,7,Local,30
2026-03-05,28,3,8,Local,30
2026-03-05,29,3,9,Local,30
2026-03-05,30,3,10,Local,30
2026-03-05,31,4,1,International,30
2026-03-05,32,4,2,International,30
2026-03-05,33,4,3,International,30
